,Sum,Start,Stop,Time,Select,Ratio,Err_sum,Err_select,Err_ratio,Eff_f
60,307759.0,60000,61000,60500.0,49115.0,0.15958915904977597,554.7603086018321,203.16687341510735,0.0006601492512488907,0.34747
61,290408.0,61000,62000,61500.0,47090.0,0.16215118040825321,538.8951660573697,198.63106734490293,0.0006839724365200095,0.34747
62,224850.0,62000,63000,62500.0,36766.0,0.1635134534133867,474.1835087811469,175.36893787613423,0.00077993745997836,0.34662
63,284314.0,64000,65000,64500.0,45871.0,0.1613392235345428,533.2110276429024,196.1382381822754,0.0006898648613233094,0.34578
65,71140.0,66000,66250,66125.0,11335.0,0.15933370818105144,266.7208278331484,97.61635322919916,0.00137217252219847,0.34578
66,75116.0,66250,66500,66375.0,12064.0,0.1606049310399915,274.07298298081116,100.63032401783045,0.0013396656373852501,0.34578
67,74341.0,66500,66750,66625.0,11970.0,0.1610147832286356,272.6554602424092,100.21303829718582,0.00134801843259017,0.34578
68,60957.0,66750,67000,66875.0,9578.0,0.1571271552077694,246.89471440271862,89.85007572295075,0.0014739911039413152,0.34578
69,249521.0,67000,68000,67500.0,39859.0,0.1597420657980691,499.5207703389319,183.0077621286998,0.0007334363124895291,0.34578
70,297439.0,68000,69000,68500.0,47544.0,0.15984453955264777,545.3796842567571,199.8608296077771,0.0006719388836291714,0.34578
71,287900.0,69000,70000,69500.0,46170.0,0.16036818339701286,536.5631370118525,196.89032727018338,0.0006838844295595116,0.34578
72,280998.0,70000,71000,70500.0,44673.0,0.15897977921551043,530.0924447678914,193.8321343923796,0.0006897989821720425,0.34057
73,298711.0,71000,72000,71500.0,47884.0,0.16030209801446885,546.5446001928846,200.51956098763824,0.0006712828151210978,0.34532
74,294036.0,72000,73000,72500.0,46821.0,0.15923560380361587,542.2508644529762,198.40723221271674,0.0006747719062043993,0.34532
75,304032.0,73000,74000,73500.0,48648.0,0.16000947268708557,551.3909683699942,202.14811196921593,0.0006648909061191451,0.34532
76,294355.0,74000,75000,74500.0,47145.0,0.16016374785548063,542.5449290151001,198.98261257545437,0.0006759953545054589,0.34532
77,301434.0,75000,76000,75500.0,48411.0,0.160602320906069,549.0300538221928,201.58393051683532,0.0006687498109597302,0.34532
78,295223.0,76000,77000,76500.0,47224.0,0.1599604366868435,543.3442739184798,199.17336252094682,0.0006746539481034567,0.34532
79,302553.0,77000,78000,77500.0,48425.0,0.1600546020036159,550.0481797079234,201.67884345655818,0.0006665901295196484,0.34532
80,305441.0,78000,79000,78500.0,48534.0,0.1588981178034383,552.6671692800288,202.04464543889284,0.0006614850181831936,0.34532
81,294788.0,79000,80000,79500.0,46931.0,0.15920254555816382,542.943827665441,198.6440669499339,0.0006738539796393811,0.34532
82,296395.0,80000,81000,80500.0,47605.0,0.16061337067089526,544.4217115435423,199.89747494456262,0.0006744293086744466,0.34532
83,301806.0,81000,82000,81500.0,48094.0,0.1593540221201699,549.3687286331467,201.07219514431264,0.0006662299462048887,0.34532
84,297657.0,82000,83000,82500.0,47235.0,0.15868936393231134,545.5795084128436,199.34720438134383,0.0006697212038733973,0.34532
85,298247.0,83000,84000,83500.0,47301.0,0.15859673357988513,546.1199501940943,199.49740826621746,0.0006688999663574737,0.34532
86,287057.0,84000,85000,84500.0,45575.0,0.1587663774093647,535.7770058522482,195.80404068754098,0.0006821085731667961,0.34532
87,279920.0,85000,86000,85500.0,44580.0,0.15925978851100314,529.0746639180524,193.5980336371717,0.0006916191541768066,0.34532
88,282693.0,86000,87000,86500.0,45032.0,0.1592964806344692,531.6888187652623,194.57276501110988,0.0006882829253328165,0.34532
