,Sum,Start,Stop,Time,Select,Ratio,Err_sum,Err_select,Err_ratio,Eff_f
91,205782.0,89000,90000,89500.0,32334.0,0.1571274455491734,453.63200945259587,165.08616288354705,0.0008022381106391572,0.34272
92,279344.0,90000,91000,90500.0,44101.0,0.15787344636004352,528.5300369893844,192.71383744317822,0.0006898799954292136,0.34272
93,295454.0,91000,92000,91500.0,46661.0,0.15792983002430158,543.5568047591714,198.22168448793906,0.0006709054014768426,0.34272
94,305599.0,92000,93000,92500.0,48484.0,0.1586523516110982,552.8100939744136,201.97004576047289,0.0006608989092257268,0.34272
97,322006.0,95000,96000,95500.0,52221.0,0.1621739967578244,567.4557251451429,209.17005453771256,0.0006495843386077047,0.34342
98,311567.0,96000,97000,96500.0,50096.0,0.16078724640286038,558.1818700029588,205.03951351922953,0.000658091240469079,0.34342
99,302761.0,97000,98000,97500.0,47913.0,0.15825353992092772,550.2372215690248,200.82479463893046,0.000663311307067061,0.33967
100,284728.0,98000,99000,98500.0,45310.0,0.15913433171307353,533.5991004490169,195.19124834397837,0.0006855358389198758,0.33967
101,295498.0,99000,100000,99500.0,46464.0,0.15723964290790463,543.5972774030422,197.88384782979918,0.00066966222387224,0.33992
102,308314.0,100000,101000,100500.0,48729.0,0.15804991015652872,555.2602993191572,202.55218075346045,0.0006569671852509469,0.33992
103,304841.0,101000,102000,101500.0,48406.0,0.15879097627943747,552.1240802573277,201.79089177219458,0.0006619545657316259,0.33992
104,305362.0,102000,103000,102500.0,48641.0,0.15928963001290272,552.59569307044,202.22015999039857,0.000662230925885993,0.33992
105,238668.0,103000,104000,103500.0,37867.0,0.15865972815794324,488.5365902365963,178.49098597364284,0.0007478630816600585,0.33992
106,288805.0,104000,105000,104500.0,44607.0,0.15445369713128235,537.4058056999385,194.20938167880792,0.0006724585158802926,0.3361
107,271137.0,105000,106000,105500.0,39802.0,0.14679663786204022,520.7081716278323,184.28022199849627,0.0006796572286279492,0.3361
108,231088.0,107000,108000,107500.0,35024.0,0.15156130997715156,480.7161324524069,172.38247207694943,0.000745960292516052,0.33419
109,271311.0,109000,110000,109500.0,41105.0,0.1515050993140713,520.8752249819529,186.75487381242584,0.000688342432899609,0.33384
