,Sum,Start,Stop,Time,Select,Ratio,Err_sum,Err_select,Err_ratio,Eff_f
17,358413.0,25000,26000,25500.0,55439.0,0.15467909925142223,598.6760392733286,216.48035803878466,0.0006039969477635707,0.3451
18,344837.0,26000,27000,26500.0,53650.0,0.1555807526454528,587.2282350159944,212.84523161342247,0.0006172343211819569,0.3451
19,352510.0,27000,28000,27500.0,54702.0,0.15517857649428385,593.7255258113803,214.97307158946603,0.0006098353850655755,0.3451
20,329682.0,28000,29000,28500.0,51071.0,0.15490988285681354,574.1794144690316,207.7488805568388,0.0006301492970706281,0.3451
22,354828.0,30000,31000,30500.0,56131.0,0.15819213816271546,595.6744077094465,217.37414080977666,0.0006126183413083992,0.3426
23,88871.0,31000,31250,31125.0,14001.0,0.15754295551979836,298.11239491171784,108.60589799714978,0.0012220622925043015,0.3426
24,86541.0,31250,31500,31375.0,13695.0,0.15824869137171976,294.1785172306095,107.36751916508221,0.0012406549400293758,0.3426
25,87456.0,31500,31750,31625.0,13770.0,0.15745060373216246,295.72960622839236,107.71214038634699,0.0012316152166386182,0.3426
26,91778.0,31750,32000,31875.0,14367.0,0.15654078319422957,302.9488405655318,110.0816904296464,0.0011994344007239905,0.3426
27,358424.0,32000,33000,32500.0,55941.0,0.15607492801821307,598.6852261414173,217.27865162443626,0.000606205643663472,0.3426
28,330002.0,33000,34000,33500.0,52210.0,0.15821116235659177,574.4580054277249,209.64206451321343,0.0006352751332210515,0.3426
29,344387.0,34000,35000,34500.0,54407.0,0.1579821537979076,586.8449539699562,214.03659724055893,0.0006215002228323337,0.3426
30,318533.0,35000,36000,35500.0,50712.0,0.15920485475602214,564.3872783824951,206.4906860020873,0.0006482552388672047,0.3426
32,6864.0,38000,39000,38500.0,1083.0,0.1577797202797203,82.84926070883192,30.20140001617579,0.004399970864827475,0.34971
33,288465.0,39000,40000,39500.0,46916.0,0.16264018165115351,537.0893780368403,198.20588598135646,0.0006871054928027887,0.34971
35,71568.0,40250,40500,40375.0,11408.0,0.15940084954169462,267.52196171529545,97.92627384123398,0.001368296918192963,0.34971
36,73617.0,40500,40750,40625.0,11757.0,0.15970495945230043,271.3245289316836,99.39491330907887,0.0013501625074246284,0.34971
37,71356.0,40750,41000,40875.0,11677.0,0.16364426257077191,267.12543869875066,98.82371145611307,0.0013849390584689874,0.34971
38,212793.0,41000,42000,41500.0,34659.0,0.16287659838434534,461.29491651220263,170.33455309066616,0.0008004706597052824,0.34971
39,300314.0,42000,43000,42500.0,48574.0,0.16174404123683878,548.0091240116354,201.78564106735095,0.0006719155319677103,0.34971
40,95489.0,43000,44000,43500.0,15384.0,0.1611075621275749,309.01294471267704,113.60247032626265,0.0011896916956535585,0.34946
41,289916.0,44000,45000,44500.0,46893.0,0.16174685081195933,538.4384830228984,198.26296912150488,0.0006838634953624667,0.34946
43,297904.0,46000,47000,46500.0,47407.0,0.15913515763467426,545.8058262789066,199.65690466901714,0.000670205518116632,0.3456
44,298578.0,47000,48000,47500.0,47811.0,0.16012901151457912,546.4229131359701,200.38730456412767,0.000671138880172443,0.3443
45,299323.0,48000,49000,48500.0,47916.0,0.16008125002088044,547.1041948294676,200.6129278585991,0.0006702222276891488,0.34603
46,296629.0,49000,50000,49500.0,47827.0,0.16123507816160929,544.6365760761942,200.28881625483913,0.0006752165710528611,0.34603
50,75498.0,52250,52500,52375.0,12287.0,0.16274603300749688,274.7689938839534,101.42652262814143,0.0013434332383393127,0.34901
51,68021.0,52500,52750,52625.0,10912.0,0.16042104644154012,260.8083587617544,95.71564940609197,0.0014071485189293303,0.34901
52,72949.0,52750,53000,52875.0,11735.0,0.16086581036066294,270.09072549793336,99.23325911919662,0.0013603100675704481,0.34901
53,295266.0,53000,54000,53500.0,48133.0,0.1630157214172983,543.383842233094,200.71513216751043,0.0006797773267748756,0.34901
